Question,Answer
"Which of the following shows multiple inheritances?
a) A->B->C
b) A->B; A->C
c) A,B->C
d) B->A
","A,B->C"
"What will be the output of the following C++ code?
#include <iostream>
using namespace std;
 
class A 
{
   int a;
   A() { a = 5;}
};
 
int main()
{
    A *obj = new A;
    cout << obj->a;
}
",Compile Time Error
"Which out of the following features of OOPs is not used in the following C++ code (Inheritance , Abstraction , Polymorphism)
class A
{
    int i;
    public:
    void print(){cout<<""hello""<<i;}
}
 
class B: public A
{
    int j;
    public:
    void assign(int a){j = a;}
}",Polymorphism
"What will be the output of the following C++ code?
#include<iostream>
using namespace std;
int x = 1;
int main()
{
    int x = 2;
    {
        int x = 3;
        cout << ::x << endl;
    }
    return 0;
}
",1
"What will be the output of the following C code?
   #include <stdio.h>
   int main()
   {
       enum {ORANGE = 5, MANGO, BANANA = 4, PEACH};
       printf(""PEACH = %d\n"", PEACH);
   }",PEACH = 5
"What will be the output of the following C code?

#include <stdio.h>
#define EVEN 0 
#define ODD 0 
int main()
{
  int i = 3;
  switch (i & 1)
  {
    case EVEN: printf(""Even"");
      break;
    case ODD: printf(""odd"");
      break;
    default: printf(""Default"");
  }
  return 0;
}

",ODD
" What will be the output of the following C code?
   #include <stdio.h>
   int main()
   {
       float f1 = 0.1;
       if (f1 == 0.1)
           printf(""equal\n"");
       else
           printf(""not equal\n"");
   }",not equal
"#include <stdio.h>
int main();
{
  int i;
  if (printf(""0""))
    i = 3;
  else
    i = 5;
  printf(""%d"", i);
  return 0;
}
",03
"#include <stdio.h>
int i;
int main()
{
  if (i);
  else
    printf(""Else"");
  return 0;
}
",Else
"a = ['XX', 'YY']  
for i in a:  
    i.lower()  
print(a)  
","['XX', 'YY']"
"not(10<20) and not(10>30)",FALSE
"#include <stdio.h>
int main()
{
  int a = 5;
  switch(a)
  {
    default:
      a = 4;
    case 6:
      a--;
    case 5:
      a = a+1;
    case 1:
      a = a-1;     
   }
   printf(""%d "", a);
   return 0;
}
",5
" What will be the output of the following Python code?
if (9 < 0) and (0 < -9):
    print(""hello"")
elif (9 > 0) or False:
    print(""good"")
else:
    print(""bad"")
",good
"#include <stdio.h>
int main()
{
  int i = 0;
  switch (i)
  {
    case '0': printf(""Logical"");
    case '1': printf(""C Quiz"");
    default: printf(""Logical C Quiz"")
  }
  return 0;
}
",Logical C Quiz
"What will be the output of the following Python code?
l=[1, 0, 2, 0, 'hello', '', []]
list(filter(bool, l))
print(l)","[1, 2, ‘hello’]"
" What will be the output of the following Python code if a=10 and b =20?
a=10
b=20
a=a^b
b=a^b
a=a^b
print (a, b)
",20 10
"What is the average value of the following Python code snippet?
grade1 = 80
grade2 = 90
average = (grade1 + grade2) / 2",85
"Which of the following are legal lines of Java code?
   1. int w = (int)888.8;
   2. byte x = (byte)100L;
   3. long y = (byte)100;
   4. byte z = (byte)100L;",All lines are legal
"What will be the output of the following Java code?
   class increment {
       public static void main(String args[])
       {       
            int g = 3;
            System.out.print(++g * 8);
       }
   }
",32
